аккумуляторный	 прил.
аккумуляционный	 прил.
аккумуляция	 ж.
аккуратист	 м. разг.
аккуратистка	 ж. разг.
аккуратненький	 прил. разг.
аккуратность	 ж.
аккуратный	 прил.
акмеизм	 м.
акмеист	 м.
акмеистический	 прил.
акмеистка	 ж.
акмеистский	 прил.
аконит	 м.
аконитовый	 прил.
акр	 м.
акрида	 ж.
акрил	 м.
акриловый	 прил.
акрихин	 м.
акробат	 м.
акробатика	 ж.
акробатический	 прил.
акробатка	 ж.
акрополь	 м.
акростих	 м.
аксакал	 м.
аксамит	 м.
аксамитный	 прил.
аксамитовый	 прил.
акселерант	 м.
акселерат	 м.
акселератка	 ж.
акселератор	 м.
акселерация	 ж.
акселерироваться	 несов.
акселерометр	 м.
аксельбант	 м.
аксессуар	 м.
аксессуарный	 прил.
аксиома	 ж.
аксиоматика	 ж.
аксиоматический	 прил.
аксиоматичный	 прил.
аксон	 м.
актёр	 м.
актёрка	 ж. устар.
актёрский	 прил.
актёрство	 ср.
актёрствовать	 несов. неперех.
активатор	 м.
активационный	 прил.
активация	 ж.
активизация	 ж.
активизирование	 ср.
активизировать	 несов. и сов. перех.
активизироваться	 несов. и сов.
активирование	 ср.
активированный	 прил.
активировать	 несов. и сов. перех.
активироваться	 несов. и сов.
активист	 м.
активистка	 ж.
активистский	 прил.
активничать	 несов. неперех. разг.
активность	 ж.
актинии	 мн.
актиний	 м.
актиния	 ж.
актинограф	 м.
актинометр	 м.
актинометрия	 ж.
актирование	 ср.
актировать	 несов. и сов. перех.
актироваться	 несов.
актриса	 ж.
актуализация	 ж.
актуализирование	 ср.
актуализировать	 несов. и сов. перех.
актуализироваться	 несов. и сов.
актуализм	 м.
актуальность	 ж.
актуальный	 прил.
акты	 мн.
акулёнок	 м.
акуловые	 мн.
акуловый	 прил.
акулы	 мн.
акустик	 м.
акустика	 ж.
акустический	 прил.
акушер	 м.
акушерка	 ж.
акушерский	 прил.
акушерство	 ср.
акцент	 м.
акцентирование	 ср.
акцентированный	 прил.
акцентировать	 несов. и сов. перех.
акцентироваться	 несов.
акцентный	 прил.
акцентологический	 прил.
акцентология	 ж.
акцентуация	 ж.
акцептный	 прил.
акцептовать	 несов. и сов. перех.
акциз	 м.
акцизный	 прил.
акционер	 м.
акционерный	 прил.
акын	 м.
аларм	 м.
аларма	 ж. устар.
алармист	 м. устар.
алармистский	 прил. устар.
алатырь	 м.
албанец	 м.
албанка	 ж.
албанский	 прил.
албанцы	 мн.
алгвазил	 м. устар.
алгебра	 ж.
алгебраист	 м.
алгебраический	 прил.
алгоритм	 м.
алгоритмизация	 ж.
алгоритмизировать	 несов. и сов. перех.
алгоритмизироваться	 несов.
алгоритмический	 прил.
алебарда	 ж.
алебардист	 м.
алебардник	 м.
алебардный	 прил.
алебардщик	 м.
алебастр	 м.
алебастровый	 прил.
александрит	 м.
аленький	 прил. разг.
алеть	 несов. неперех.
алеться	 несов. устар.
алеут	 м.
алеутка	 ж.
алеутский	 прил.
алеуты	 мн.
алжирец	 м.
алжирка	 ж.
алжирский	 прил.
алжирцы	 мн.
алиби	 ср. нескл.
ализарин	 м.
ализариновый	 прил.
алиментарный	 прил.
алиментный	 прил.
алиментщик	 м. разг.
алименты	 мн.
алкалоид	 м.
алкалоидный	 прил.
алкать	 несов. перех. и неперех. устар.
алкаш	 м. разг.-сниж.
алкоголизм	 м.
алкоголик	 м.
алкоголический	 прил.
алкоголичка	 ж. разг.
алкоголь	 м.
алкогольный	 прил.
алконост	 м.
Алкоран	 м. устар.
Алла	 м. нескл. устар.
Аллах	 м.
аллегоризм	 м.
аллегорический	 прил.
аллегоричность	 ж.
аллегоричный	 прил.
аллегория	 ж.
аллегри	 ср. нескл. устар.
аллейка	 ж. разг.
аллерген	 м.
аллергенный	 прил.
аллергик	 м. разг.
аллергический	 прил.
аллергия	 ж.
аллерголог	 м.
аллергология	 ж.
аллея	 ж.
аллигатор	 м.
аллигаторы	 мн.
аллилуйщик	 м. разг.
аллилуйщина	 ж. разг.
аллитерация	 ж.
аллопат	 м.
аллопатический	 прил.
аллопатия	 ж.
аллювиальный	 прил.
аллювий	 м.
аллюзия	 ж.
аллюр	 м.
алмаз	 м.
алмазик	 м. разг.
алмазник	 м. разг.
алмазный	 прил.
алогизм	 м.
алогический	 прил.
алогичность	 ж.
алогичный	 прил.
алойный	 прил.
алость	 ж.
алоэ	 ср. нескл.
алтабас	 м.
алтаец	 м.
алтайка	 ж.
алтайский	 прил.
алтайцы	 мн.
алтарный	 прил.
алтарь	 м.
алтей	 м.
алтейный	 прил.
алтын	 м.
алтынничать	 несов. неперех. устар.
алтынный	 прил. устар.
алунит	 м.
алфавит	 м.
алфавитный	 прил.
алхимик	 м.
алхимический	 прил.
алхимия	 ж.
алчба	 ж. устар.
алчность	 ж.
алчный	 прил.
алчущая	 ж.
алчущий	 м.
алый	 прил.
алыча	 ж.
алычовый	 прил.
альбатрос	 м.
альбатросы	 мн.
альбедо	 ср. нескл.
альбинизм	 м.
альбинос	 м.
альбиноска	 ж.
альбом	 м.
альбомец	 м. разг.
альбомный	 прил.
альбомчик	 м. разг.
альбумин	 м.
альбумины	 мн.
альвеола	 ж.
альвеолярный	 прил.
альгвазил	 м. устар.
альдегид	 м.
альдегидный	 прил.
альдегиды	 мн.
алькальд	 м.
альков	 м.
альковный	 прил.
альмавива	 ж.
альма-матер	 ж. нескл.
альманах	 м.
альманашный	 прил. устар.
альмандин	 м.
альпеншток	 м.
альпийский	 прил.
альпинарий	 м.
альпиниада	 ж.
альпинизм	 м.
альпинист	 м.
альпинистка	 ж.
альпинистский	 прил.
альтерация	 ж.
альтернатива	 ж.
альтернативность	 ж.
альтернативный	 прил.
альтиметр	 м.
альтист	 м.
альтистка	 ж.
альтруизм	 м.
альтруист	 м.
альтруистический	 прил.
альтруистичность	 ж.
альтруистичный	 прил.
альтруистка	 ж.
альфа-лучи	 мн.
альфа-распад	 м.
альфа-терапия	 ж.
альфа-частица	 ж.
альфа-частицы	 мн.
альфонс	 м.
альянс	 м.
алюминиевый	 прил.
алюминий	 м.
алюминщик	 м. разг.
аляповатость	 ж.
аляповатый	 прил.
амальгама	 ж.
амальгамация	 ж.
амальгамирование	 ср.
